function,num_times,n_elements,sizeof,max_GB_per_sec,min_runtime,max_runtime,avg_runtime
Copy,100,1024,4,0.153696,5.33e-05,0.0001958,7.02162e-05
Mul,100,1024,4,0.140034,5.85e-05,0.0002328,7.04697e-05
Add,100,1024,4,0.206521,5.95e-05,0.0002429,7.25424e-05
Triad,100,1024,4,0.211134,5.82e-05,0.0002827,7.09616e-05
Dot,100,1024,4,0.0680964,0.0001203,0.0002985,0.000131206
Copy,100,4096,4,0.61594,5.32e-05,0.0002216,7.11283e-05
Mul,100,4096,4,0.568889,5.76e-05,0.0001393,7.29343e-05
Add,100,4096,4,0.83027,5.92e-05,0.0001406,7.23778e-05
Triad,100,4096,4,0.847448,5.8e-05,0.0001848,7.49838e-05
Dot,100,4096,4,0.280308,0.0001169,0.0002445,0.000139557
Copy,100,16384,4,2.37449,5.52e-05,0.0002366,7.35313e-05
Mul,100,16384,4,2.19551,5.97e-05,0.0001614,7.57475e-05
Add,100,16384,4,3.35509,5.86e-05,0.0001811,7.62131e-05
Triad,100,16384,4,3.34367,5.88e-05,0.000246,7.4601e-05
Dot,100,16384,4,1.09136,0.0001201,0.0002411,0.000139391
Copy,100,65536,4,9.5673,5.48e-05,0.0003371,8.5503e-05
Mul,100,65536,4,8.38861,6.25e-05,0.0001774,8.82838e-05
Add,100,65536,4,12.3653,6.36e-05,0.0004326,9.20242e-05
Triad,100,65536,4,12.0804,6.51e-05,0.0002547,9.28323e-05
Dot,100,65536,4,4.31868,0.0001214,0.0002386,0.000152239
Copy,100,262144,4,25.2669,8.3e-05,0.0003022,0.000189097
Mul,100,262144,4,24.4423,8.58e-05,0.0002717,0.000186935
Add,100,262144,4,34.2299,9.19e-05,0.0002986,0.000188619
Triad,100,262144,4,34.9137,9.01e-05,0.0004467,0.000194655
Dot,100,262144,4,14.9583,0.0001402,0.0003748,0.000246045
Copy,100,1048576,4,64.827,0.0001294,0.0004202,0.000188303
Mul,100,1048576,4,57.6537,0.0001455,0.0003288,0.000198037
Add,100,1048576,4,77.2906,0.0001628,0.0003433,0.000217755
Triad,100,1048576,4,69.9051,0.00018,0.0003123,0.000235804
Dot,100,1048576,4,44.955,0.0001866,0.0003618,0.000251152
Copy,100,4194304,4,61.9772,0.0005414,0.0009295,0.000659808
Mul,100,4194304,4,53.7215,0.0006246,0.000956,0.000787531
Add,100,4194304,4,53.9518,0.0009329,0.0013893,0.00109195
Triad,100,4194304,4,55.2427,0.0009111,0.0012497,0.00106308
Dot,100,4194304,4,53.0253,0.0006328,0.0010099,0.000775336
Copy,100,16777216,4,57.4562,0.002336,0.003011,0.00254396
Mul,100,16777216,4,54.4185,0.0024664,0.0031018,0.00268579
Add,100,16777216,4,55.6766,0.003616,0.0044953,0.00385009
Triad,100,16777216,4,57.2504,0.0035166,0.0041762,0.00382954
Dot,100,16777216,4,54.5645,0.0024598,0.0034181,0.00267787
Copy,100,67108864,4,54.4538,0.0098592,0.0115372,0.0106297
Mul,100,67108864,4,52.1634,0.0102921,0.0116561,0.0109861
Add,100,67108864,4,54.2495,0.0148445,0.0167101,0.0155254
Triad,100,67108864,4,54.4847,0.0147804,0.0175245,0.0154945
Dot,100,67108864,4,55.4189,0.0096875,0.011715,0.0102095
