function,num_times,n_elements,sizeof,max_GB_per_sec,min_runtime,max_runtime,avg_runtime
Copy,100,1024,4,0.0567423,0.000144372,0.000376534,0.000204283
Mul,100,1024,4,0.0642732,0.000127456,0.000386451,0.000204351
Add,100,1024,4,0.101034,0.000121623,0.000438366,0.00019855
Triad,100,1024,4,0.0896404,0.000137081,0.000440407,0.000201597
Dot,100,1024,4,0.0325463,0.000251703,0.000646903,0.000355979
Copy,100,4096,4,0.226056,0.000144955,0.000467241,0.000276259
Mul,100,4096,4,0.288817,0.000113456,0.000419408,0.000260179
Add,100,4096,4,0.367957,0.000133581,0.000439533,0.000273495
Triad,100,4096,4,0.436592,0.000112581,0.000472782,0.000276094
Dot,100,4096,4,0.112575,0.000291077,0.000734402,0.00043879
Copy,100,16384,4,1.09609,0.000119581,0.000520323,0.000232436
Mul,100,16384,4,0.877728,0.000149331,0.000423783,0.000230845
Add,100,16384,4,1.4848,0.000132414,0.000404242,0.000240635
Triad,100,16384,4,1.30386,0.000150789,0.000551531,0.000237394
Dot,100,16384,4,0.505509,0.000259287,0.000905315,0.000395866
Copy,100,65536,4,3.63151,0.000144372,0.000375951,0.000229231
Mul,100,65536,4,3.6611,0.000143205,0.000368951,0.000226594
Add,100,65536,4,5.13598,0.000153122,0.00073236,0.000266705
Triad,100,65536,4,5.1165,0.000153705,0.000404825,0.000259923
Dot,100,65536,4,2.00625,0.000261328,0.000586239,0.000372183
Copy,100,262144,4,12.1254,0.000172955,0.000647487,0.000310298
Mul,100,262144,4,12.2703,0.000170913,0.000638737,0.000313367
Add,100,262144,4,15.0426,0.000209121,0.000831525,0.000381569
Triad,100,262144,4,15.1483,0.000207662,0.000796525,0.000375771
Dot,100,262144,4,8.22696,0.000254912,0.000724194,0.000419691
Copy,100,1048576,4,18.86,0.000444782,0.00203112,0.000759264
Mul,100,1048576,4,19.1488,0.000438075,0.00201392,0.000744339
Add,100,1048576,4,21.1585,0.000594697,0.00261065,0.00097544
Triad,100,1048576,4,21.2943,0.000590905,0.0026792,0.000956753
Dot,100,1048576,4,15.572,0.000538697,0.00246162,0.000955369
Copy,100,4194304,4,22.5095,0.00149068,0.00171963,0.00164762
Mul,100,4194304,4,22.137,0.00151576,0.00175376,0.00163321
Add,100,4194304,4,23.9513,0.00210142,0.00261911,0.00223824
Triad,100,4194304,4,24.1524,0.00208392,0.00227058,0.00221706
Dot,100,4194304,4,21.1171,0.00158897,0.00193109,0.00180287
Copy,100,16777216,4,23.4405,0.00572588,0.00875653,0.00612862
Mul,100,16777216,4,23.7025,0.00566259,0.00880057,0.00614799
Add,100,16777216,4,25.4809,0.00790109,0.00889361,0.0082906
Triad,100,16777216,4,25.3676,0.00793638,0.00903594,0.00828791
Dot,100,16777216,4,22.2958,0.00601988,0.00748168,0.00672512
Copy,100,67108864,4,24.5164,0.0218985,0.0341456,0.0227515
Mul,100,67108864,4,24.425,0.0219804,0.034194,0.0227544
Add,100,67108864,4,26.3646,0.030545,0.0474019,0.0313166
Triad,100,67108864,4,26.3319,0.030583,0.0472948,0.0313578
Dot,100,67108864,4,16.6437,0.0322568,0.0874332,0.0350975
